Source,Target,Effect,Type,PMID,data_source
"ITGAE","CSK","+","Binding","10592173","axel_ppi"
"ITGB8","GNB2L1","0","Binding","10965141","axel_ppi"
"PAK1","ARHGEF2","0","Binding","14970201","axel_ppi"
"ITGA7","FHL2","0","Binding","15117962","axel_ppi"
"VIM","HSPB1","0","Binding","25277244","axel_ppi"
"ITGA7","FHL2","0","Binding","10906324","axel_ppi"
"ITGB2","RDX","0","Binding","17321526","axel_ppi"
"PIK3CA","IRS1","+","Binding","1380456","axel_ppi"
"PIK3CA","IRS1","+","Binding","1381348","axel_ppi"
"PIK3CA","IRS1","0","Binding","9624169","axel_ppi"
"PIK3CA","IRS1","+","compound","10592173","axel_ppi"
"PIK3CA","IRS1","0","Binding","16354680","axel_ppi"
"PIK3CA","IRS1","0","Binding","11313948","axel_ppi"
"PIK3CA","IRS1","0","Binding","16150444","axel_ppi"
"PIK3CA","IRS1","0","Binding","23643389","axel_ppi"
"PIK3CA","IRS1","+","Binding","9374521","axel_ppi"
"CRK","PTK2B","0","Binding","10329689","axel_ppi"
"HAX1","SHC1","0","Binding","19380743","axel_ppi"
"CSK","ITGA2","+","Binding","10592173","axel_ppi"
"LRP1","SRC","0","Binding","11854294","axel_ppi"
"ACTB","MARCKS","0","Binding","1560845","axel_ppi"
"PRKACA","PAK1","0","Binding","10980699","axel_ppi"
"AKT1","NF2","0","Binding","17891137","axel_ppi"
"HRAS","SOS1","0","Binding","9447984","axel_ppi"
"HRAS","SOS1","0","direct_interaction","12628188","axel_ppi"
"HRAS","SOS1","0","Binding","17084389","axel_ppi"
"HRAS","SOS1","0","Binding","10208427","axel_ppi"
"LYN","PLAUR","0","Binding","9417082","axel_ppi"
"PTPN6","SIRPA","0","Binding","16920950","axel_ppi"
"SOS1","SRC","0","Binding","17474147","axel_ppi"
"SOS1","SRC","0","Binding","9856337","axel_ppi"
"ITGA1","PTPN2","0","Binding","15592458","axel_ppi"
"SRC","AKT1","0","Binding","18283331","axel_ppi"
"FHL2","ITGA2","0","Binding","10906324","axel_ppi"
"CBL","CSK","0","Binding","19380743","axel_ppi"
"CBL","CSK","0","Binding","11149930","axel_ppi"
"SLC3A2","ITGB1","0","Binding","11507094","axel_ppi"
"SLC3A2","ITGB1","0","Binding","12181350","axel_ppi"
"SLC3A2","ITGB1","0","Binding","10671548","axel_ppi"
"INSR","AGAP2","0","Binding","21720388","axel_ppi"
"NEDD9","PIK3CA","0","Binding","18624398","axel_ppi"
"ITGB1","PTK2","0","Binding","19889638","axel_ppi"
"ITGB1","ITGA8","0","Binding","7768999","axel_ppi"
"CBL","MYH9","0","Binding","19380743","axel_ppi"
"CBL","MYH9","0","Binding","21203488","axel_ppi"
"CTTN","PXN","0","Binding","15719014","axel_ppi"
"TIAM1","HRAS","0","Binding","12134164","axel_ppi"
"ACTN1","ACTB","0","Binding","10592173","axel_ppi"
"ITGB1","ITGA8","0","Binding","11668187","axel_ppi"
"ITGB1","ITGA8","0","Binding","7559467","axel_ppi"
"HRAS","SOS1","+","Binding","10592173","axel_ppi"
"HRAS","SOS1","0","direct_interaction","15507210","axel_ppi"
"HRAS","SOS1","0","Binding","18454158","axel_ppi"
"MAPK8","CBL","0","Binding","16982329","axel_ppi"
"PXN","SRC","0","Binding","14665621","axel_ppi"
"AKT1","HSPB1","0","Binding","11042204","axel_ppi"
"PXN","SRC","0","Binding","7525621","axel_ppi"
"PXN","SRC","0","Binding","10085298","axel_ppi"
"TRIO","RHOA","0","Binding","10948190","axel_ppi"
"MAPK8","CBL","0","Binding","11944898","axel_ppi"
"ABI1","CBL","0","Binding","17395426","axel_ppi"
"RAC1","RHOA","_","Binding","10592173","axel_ppi"
"FHL2","ITGB1","0","Binding","10906324","axel_ppi"
"CSK","GRLF1","0","phosphorylation","10592173","axel_ppi"
"VCL","SORBS2","0","Binding","10521485","axel_ppi"
"VCL","SORBS2","0","Binding","20886612","axel_ppi"
"SORBS2","ACTN1","0","Binding","20886612","axel_ppi"
"HSPB1","ARHGEF7","0","Binding","25277244","axel_ppi"
"ACTB","CRK","0","Binding","19380743","axel_ppi"
"RHOU","PTK2","0","Binding","18086875","axel_ppi"
"PRKCA","PTPN11","+","Phosphorylation","16055440","axel_ppi"
"RAC1","PTK2","0","Binding","20936779","axel_ppi"
"PTPN6","SIRPA","0","Binding","18233962","axel_ppi"
"PTPN6","SIRPA","0","Binding","17954568","axel_ppi"
"ARHGEF12","RHOA","0","Binding","20300064","axel_ppi"
"SORBS1","SOS1","0","Binding","17548467","axel_ppi"
"PTPN6","SIRPA","0","Binding","10660620","axel_ppi"
"HRAS","SOS1","0","Binding","19141281","axel_ppi"
"ARHGEF12","RHOA","0","Binding","11373293","axel_ppi"
"ARHGEF12","RHOA","+","Binding","10592173","axel_ppi"
"ARHGEF12","RHOA","0","direct_interaction","15364580","axel_ppi"
"PTK2","ITGB6","+","Binding","10592173","axel_ppi"
"NRP1","ITGA5","0","Binding","19175293","axel_ppi"
"RASA1","ARHGAP5","0","Binding","10713673","axel_ppi"
"NEDD9","TRIP6","0","Binding","16624523","axel_ppi"
"PPFIA1","GIT1","0","Binding","12923177","axel_ppi"
"PTPN11","PRKCA","+","Phosphorylation","16055440","axel_ppi"
"VAV2","PTPN6","_","dephosphorylation","10592173","axel_ppi"
"ITGB1","LYN","0","colocalization","20159608","axel_ppi"
"SRC","PTPN1","0","Binding","16115959","axel_ppi"
"PAK1","SORBS2","0","Binding","15784622","axel_ppi"
"ABL1","ABI1","0","Binding","9010225","axel_ppi"
"ABL1","ABI1","0","Binding","9593709","axel_ppi"
"ABL1","ABI1","0","Binding","18328268","axel_ppi"
"ABL1","ABI1","0","Binding","21320496","axel_ppi"
"ABL1","ABI1","0","Binding","17101133","axel_ppi"
"ABL1","ABI1","0","Binding","11163214","axel_ppi"
"ABL1","ABI1","0","Binding","20598684","axel_ppi"
"ABL1","ABI1","0","Binding","7590237","axel_ppi"
"ABL1","ABI1","0","Binding","12672821","axel_ppi"
"ABL1","ABI1","0","Binding","11418237","axel_ppi"
"FYN","PTPN11","0","Binding","11157475","axel_ppi"
"PTPN11","PTK2","0","Binding","21726809","axel_ppi"
"PTPN11","PTK2","0","Binding","19698715","axel_ppi"
"CSK","SRC","0","Binding","7513429","axel_ppi"
"PXN","PTPRH","0","Binding","11278335","axel_ppi"
"PXN","TLN1","0","Binding","8641358","axel_ppi"
"PXN","TLN1","0","Binding","7534286","axel_ppi"
"NEDD9","PXN","0","Binding","10455189","axel_ppi"
"PXN","TLN1","0","Binding","9054445","axel_ppi"
"CSK","SRC","_","Binding","10592173","axel_ppi"
"CSK","SRC","0","Binding","17525734","axel_ppi"
"CSK","SRC","_","Binding","14665621","axel_ppi"
"PDPK1","PRKACA","0","Binding","10698939","axel_ppi"
"TRPM7","ACTB","0","Binding","16407977","axel_ppi"
"FYN","ABI1","0","Binding","20598684","axel_ppi"
"CSK","SRC","_","Binding","1383688","axel_ppi"
"ITGB8","PTK2","+","Binding","10592173","axel_ppi"
"VASP","ACTB","0","Binding","10592173","axel_ppi"
"INPP5D","SHC1","0","Binding","15470047","axel_ppi"
"CTTN","DNM2","0","Binding","16474900","axel_ppi"
"INPP5D","SHC1","0","Binding","10068665","axel_ppi"
"INPP5D","SHC1","0","Binding","10704825","axel_ppi"
"INPP5D","SHC1","0","Binding","9973396","axel_ppi"
"INPP5D","SHC1","0","Binding","8643691","axel_ppi"
"INPP5D","SHC1","0","Binding","10822173","axel_ppi"
"CTTN","DNM2","0","Binding","16636290","axel_ppi"
"INPP5D","SHC1","0","Binding","12024011","axel_ppi"
"INPP5D","SHC1","0","Binding","10900203","axel_ppi"
"INPP5D","SHC1","0","Binding","10194451","axel_ppi"
"INPP5D","SHC1","0","Binding","20697350","axel_ppi"
"PTEN","CRKL","0","Binding","15717329","axel_ppi"
"GIT1","PTPRF","0","Binding","12629171","axel_ppi"
"INPP5D","SHC1","0","Binding","8723348","axel_ppi"
"SHC1","ILK","0","Binding","21900206","axel_ppi"
"PPFIA1","PTPRF","0","Binding","9624153","axel_ppi"
"PPFIA1","PTPRF","0","Binding","7796809","axel_ppi"
"SSH1","CFL1","0","Binding","11832213","axel_ppi"
"SSH1","CFL1","0","dephosphorylation","10592173","axel_ppi"
"SSH1","CFL1","0","Binding","21525957","axel_ppi"
"MMP14","BCAR1","0","Binding","18164686","axel_ppi"
"RAC1","MYH9","0","Binding","20936779","axel_ppi"
"CSK","RASA1","0","Binding","7544435","axel_ppi"
"RAPGEF1","SHC1","0","Binding","9344843","axel_ppi"
"LYN","BCAR1","0","Binding","9020138","axel_ppi"
"LYN","BCAR1","0","Binding","10428862","axel_ppi"
"BCAR1","SRC","0","Binding","12615911","axel_ppi"
"NEXN","HSPB1","0","Binding","25277244","axel_ppi"
"BCAR1","GRB2","0","Binding","10085298","axel_ppi"
"LIMS1","PXN","0","Binding","26186194","axel_ppi"
"PTPN1","BCAR1","0","Binding","10889023","axel_ppi"
"PTPN1","BCAR1","0","Binding","9418872","axel_ppi"
"ARHGEF12","ARHGEF6","_","Binding","10592173","axel_ppi"
"PTPN1","BCAR1","0","Binding","9407132","axel_ppi"
"MYH9","TRPM7","0","Binding","18675813","axel_ppi"
"MYH9","TRPM7","0","Binding","16407977","axel_ppi"
"VAV1","PTPN11","_","dephosphorylation","10592173","axel_ppi"
"NF2","SOS1","0","Binding","10675333","axel_ppi"
"INSR","CAV1","0","Binding","17699617","axel_ppi"
"PTPN1","BCAR1","0","Binding","8615784","axel_ppi"
"INSR","CAV1","0","Binding","10598578","axel_ppi"
"INSR","CAV1","0","Binding","12036959","axel_ppi"
"PTPN1","BCAR1","0","Binding","15866871","axel_ppi"
"PTPN1","BCAR1","0","Binding","12023880","axel_ppi"
"PTPN1","BCAR1","0","Binding","16644720","axel_ppi"
"MAPK8","CRK","0","Binding","16982329","axel_ppi"
"BCAR1","GRB2","0","Binding","10822386","axel_ppi"
"SHC1","SYK","+","Binding","10592173","axel_ppi"
"FLNA","ITGB7","0","Binding","17690686","axel_ppi"
"ITGB2","VAV1","0","Binding","19234221","axel_ppi"
"CRKL","INPP5D","0","Binding","11443118","axel_ppi"
"SHC1","SYK","0","Binding","9199344","axel_ppi"
"GIT2","ARHGEF7","0","Binding","11157752","axel_ppi"
"GIT2","ARHGEF7","0","Binding","16628223","axel_ppi"
"GIT2","ARHGEF7","0","Binding","21295525","axel_ppi"
"PTPN6","CAV1","0","Binding","12176037","axel_ppi"
"ILK","ITGB3","0","Binding","12372433","axel_ppi"
"VASP","TES","0","Binding","12695497","axel_ppi"
"CBL","ITGB4","0","Binding","9367879","axel_ppi"
"PRKCA","ITGB6","0","Binding","10592173","axel_ppi"
"CRKL","PTPN11","0","Binding","9344843","axel_ppi"
"MAPK8","CRK","0","Binding","10592173","axel_ppi"
"CTTN","STAT3","0","Binding","24013128","axel_ppi"
"CRKL","RAPGEF1","+","Binding","10592173","axel_ppi"
"CRKL","RAPGEF1","0","Binding","9311917","axel_ppi"
"PABPC1","BCAR3","0","Binding","17353931","axel_ppi"
"CRKL","RAPGEF1","0","Binding","10907644","axel_ppi"
"CRKL","RAPGEF1","0","Binding","11167825","axel_ppi"
"CRKL","RAPGEF1","0","Binding","9820532","axel_ppi"
"CRKL","RAPGEF1","0","Binding","8978305","axel_ppi"
"PRKCA","RAC1","0","Binding","16628218","axel_ppi"
"CRKL","RAPGEF1","0","Binding","11466412","axel_ppi"
"CRKL","RAPGEF1","0","Binding","9344843","axel_ppi"
"NCK2","ILK","0","Binding","10022929","axel_ppi"
"CRKL","RAPGEF1","0","Binding","9129019","axel_ppi"
"CRKL","RAPGEF1","0","Binding","9374471","axel_ppi"
"CRKL","RAPGEF1","0","Binding","10753869","axel_ppi"
"CRKL","RAPGEF1","0","Binding","12671687","axel_ppi"
"CRKL","RAPGEF1","0","Binding","8621483","axel_ppi"
"CRKL","RAPGEF1","0","Binding","18835194","axel_ppi"
"CRKL","RAPGEF1","0","Binding","16443220","axel_ppi"
"CBL","VIM","0","Binding","21203488","axel_ppi"
"GIT1","ARHGEF6","0","Binding","10428811","axel_ppi"
"GIT1","ARHGEF6","0","Binding","21900206","axel_ppi"
"GIT1","ARHGEF6","+","Binding","10592173","axel_ppi"
"ENAH","ZYX","0","Binding","12672821","axel_ppi"
"VAV2","PTPN11","_","dephosphorylation","10592173","axel_ppi"
"BCAR1","SRC","0","Binding","12397603","axel_ppi"
"BCAR1","SRC","0","Binding","11514617","axel_ppi"
"EZR","PRKCA","0","Binding","11387207","axel_ppi"
"PTK2B","SRC","+","Binding","10329689","axel_ppi"
"PTK2B","SRC","+","Binding","9560226","axel_ppi"
"PTK2B","SRC","+","Binding","11274221","axel_ppi"
"PTK2B","SRC","0","Binding","11149930","axel_ppi"
"PTK2B","SRC","0","Binding","10777553","axel_ppi"
"SH3KBP1","PIK3CA","0","Binding","10921882","axel_ppi"
"CBL","SYK","0","Binding","11742985","axel_ppi"
"CBL","SYK","0","Binding","10570266","axel_ppi"
"CBL","SYK","0","Binding","11042121","axel_ppi"
"FERMT2","FBLIM1","0","Binding","12679033","axel_ppi"
"PTK2B","SRC","0","Binding","14963038","axel_ppi"
"RHOA","ARHGAP5","_","Binding","10592173","axel_ppi"
"CBL","SYK","0","Binding","15536084","axel_ppi"
"RHOA","ARHGAP5","0","Binding","12842009","axel_ppi"
"CBL","SYK","0","Binding","18273061","axel_ppi"
"CBL","SYK","0","Binding","15556646","axel_ppi"
"CBL","SYK","0","Binding","12435267","axel_ppi"
"TIAM1","RAC1","+","GEF","10212259","axel_ppi"
"CBL","SYK","0","Binding","7721825","axel_ppi"
"CBL","SYK","0","Binding","10617633","axel_ppi"
"CBL","SYK","0","Binding","11331248","axel_ppi"
"CBL","SYK","0","Binding","15577829","axel_ppi"
"PTK2B","SRC","0","Unknown","12345678","axel_ppi"
"RASA1","PLCG1","0","Binding","9020117","axel_ppi"
"ILK","LIMS1","0","Binding","23877428","axel_ppi"
"ITGB3","CEACAM1","0","Binding","11485912","axel_ppi"
"ILK","LIMS1","0","Binding","23612611","axel_ppi"
"ILK","LIMS1","0","Binding","19074270","axel_ppi"
"ILK","LIMS1","0","Binding","17353931","axel_ppi"
"ILK","LIMS1","0","Binding","12167643","axel_ppi"
"ILK","LIMS1","0","Binding","12432066","axel_ppi"
"PTK2B","SRC","+","Binding","8849729","axel_ppi"
"PTK2B","SRC","0","Binding","10521452","axel_ppi"
"PTK2B","SRC","0","Binding","19380485","axel_ppi"
"PTK2B","SRC","0","Binding","14739300","axel_ppi"
"ACTB","SHC1","0","Binding","19380743","axel_ppi"
"RASA1","PLCG1","0","Binding","9743338","axel_ppi"
"CBL","SYK","0","Binding","19419964","axel_ppi"
"ILK","LIMS1","0","Binding","26186194","axel_ppi"
"NISCH","IRS1","0","Binding","11912194","axel_ppi"
"RHOA","PLD1","0","Binding","11311142","axel_ppi"
"NRP1","MYH9","0","Binding","24021649","axel_ppi"
"FYN","PTPRA","+","Dephosphorylation","10562275","axel_ppi"
"FYN","PTPRA","0","Binding","18948260","axel_ppi"
"FYN","PTPRA","0","Binding","8413237","axel_ppi"
"SRC","ACTB","0","Binding","19903481","axel_ppi"
"FYN","PTPRA","0","Binding","1715582","axel_ppi"
"FYN","PTPRA","0","Binding","9535845","axel_ppi"
"PTK2B","SIRPA","0","Binding","10469599","axel_ppi"
"PXN","RASA1","0","Binding","10092539","axel_ppi"
"AKT1","PAK1","0","Binding","14749719","axel_ppi"
"AKT1","PAK1","0","Binding","11435472","axel_ppi"
"FYN","CSK","0","Binding","7524477","axel_ppi"
"LPP","VASP","0","Binding","10637295","axel_ppi"
"TIAM1","RAC1","0","Binding","11595749","axel_ppi"
"TIAM1","RAC1","0","Binding","11130063","axel_ppi"
"TIAM1","RAC1","0","Binding","8910315","axel_ppi"
"TIAM1","RAC1","+","Binding","10592173","axel_ppi"
"SH3KBP1","CRK","0","Binding","11071869","axel_ppi"
"PTK2","ITGB1","0","Binding","19889638","axel_ppi"
"PIK3CA","RAC1","+","Binding","10592173","axel_ppi"
"PIK3CA","RAC1","0","Binding","9148763","axel_ppi"
"GRB2","VASP","0","Binding","19380743","axel_ppi"
"ABL1","CRK","+","Binding","10592173","axel_ppi"
"PLCG1","RAC1","0","Binding","19264842","axel_ppi"
"ABL1","CRK","0","Binding","20697350","axel_ppi"
"ABL1","CRK","0","Binding","17515907","axel_ppi"
"ABL1","CRK","0","Binding","17474147","axel_ppi"
"ABL1","CRK","0","phosphorylation_reaction","24412932","axel_ppi"
"SRC","ARHGAP32","0","Binding","12454018","axel_ppi"
"BCAR1","NEDD9","0","Binding","10502414","axel_ppi"
"ABL1","CRK","0","Binding","11080615","axel_ppi"
"ARHGAP5","RHOA","0","Binding","12842009","axel_ppi"
"ABL1","CRK","0","Binding","18835194","axel_ppi"
"ARHGAP5","RHOA","_","Binding","10592173","axel_ppi"
"ABL1","CRK","0","Binding","19380743","axel_ppi"
"ABL1","CRK","0","Binding","12384576","axel_ppi"
"ABL1","CRK","0","Binding","18768933","axel_ppi"
"GRB2","ARHGAP32","0","Binding","20936779","axel_ppi"
"PTPN11","IRS1","0","Binding","7513703","axel_ppi"
"ITGB6","SRC","+","Binding","10592173","axel_ppi"
"BCAR1","SRC","0","Binding","10739664","axel_ppi"
"BCAR1","SRC","+","Phosphorylation","8070403","axel_ppi"
"STARD13","TUBA1B","0","Binding","14697242","axel_ppi"
"BCAR1","SRC","0","Binding","17038317","axel_ppi"
"BCAR1","SRC","0","Binding","10487518","axel_ppi"
"BCAR1","SRC","0","Binding","10085298","axel_ppi"
"BCAR1","SRC","0","Binding","10542110","axel_ppi"
"PARVA","PXN","0","Binding","18940607","axel_ppi"
"PARVA","PXN","0","Binding","11304546","axel_ppi"
"PTPN11","IRS1","0","Binding","8505282","axel_ppi"
"CRK","SOS1","0","Binding","9591773","axel_ppi"
"PTPN11","IRS1","0","Binding","9756938","axel_ppi"
"CRK","SOS1","0","Binding","17474147","axel_ppi"
"ILK","AKT1","0","Binding","11313365","axel_ppi"
"LIMS1","ILK","0","Binding","23877428","axel_ppi"
"LIMS1","ILK","0","Binding","26186194","axel_ppi"
"LIMS1","ILK","0","Binding","12432066","axel_ppi"
"ILK","AKT1","0","phosphorylation","10592173","axel_ppi"
"ILK","AKT1","0","Binding","11825911","axel_ppi"
"LIMS1","ILK","0","Binding","12167643","axel_ppi"
"LIMS1","ILK","0","Binding","17353931","axel_ppi"
"LIMS1","ILK","0","Binding","19074270","axel_ppi"
"LIMS1","ILK","0","Binding","23612611","axel_ppi"
"ABI1","PTPN11","0","Binding","20598684","axel_ppi"
"FLNA","ITGB7","0","Binding","15225631","axel_ppi"
"CBL","SYNM","0","Binding","15872089","axel_ppi"
"CRK","SOS1","0","Binding","8943292","axel_ppi"
"CRK","SOS1","0","Binding","19380743","axel_ppi"
"ITGB1","ITGA5","0","Binding","16099422","axel_ppi"
"ITGB1","ITGA5","0","Binding","21947080","axel_ppi"
"MAPK1","PXN","0","Binding","11784715","axel_ppi"
"ITGB1","ITGA5","0","Binding","20643357","axel_ppi"
"MAPK1","PXN","0","Binding","15494312","axel_ppi"
"GAB1","PLCG1","0","Binding","8596638","axel_ppi"
"GAB1","PLCG1","0","Binding","11507676","axel_ppi"
"GAB1","PLCG1","0","Binding","10871282","axel_ppi"
"PRKCA","ITGB8","0","Binding","10592173","axel_ppi"
"HRAS","CAV1","0","Binding","8621645","axel_ppi"
"SHC1","CBL","0","Binding","10570290","axel_ppi"
"SHC1","CBL","0","Binding","9541596","axel_ppi"
"ITGAL","CSK","+","Binding","10592173","axel_ppi"
"IRS1","CBL","0","Binding","10854852","axel_ppi"
"PTPN1","PXN","0","Binding","9418872","axel_ppi"
"IRS1","GRB2","+","Binding","8196603","axel_ppi"
"IRS1","GRB2","+","Binding","8265614","axel_ppi"
"IRS1","GRB2","+","Binding","8114695","axel_ppi"
"SHC1","CBL","0","Binding","9461587","axel_ppi"
"IRS1","GRB2","+","Binding","10592173","axel_ppi"
"IRS1","GRB2","0","Binding","12173038","axel_ppi"
"IRS1","GRB2","0","Binding","11259577","axel_ppi"
"IRS1","GRB2","0","Binding","8536716","axel_ppi"
"SHC1","CBL","0","Binding","19380743","axel_ppi"
"IRS1","GRB2","0","Binding","12679424","axel_ppi"
"IRS1","GRB2","0","Binding","7486683","axel_ppi"
"SHC1","CBL","0","Binding","9434624","axel_ppi"
"SHC1","CBL","0","Binding","10025673","axel_ppi"
"CRK","RAPGEF1","+","Binding","9591773","axel_ppi"
"CRK","RAPGEF1","+","Binding","9560161","axel_ppi"
"CRK","RAPGEF1","+","Binding","10592173","axel_ppi"
"CRK","RAPGEF1","0","Binding","17474147","axel_ppi"
"CRK","RAPGEF1","0","Binding","17515907","axel_ppi"
"CRK","RAPGEF1","0","Binding","19380743","axel_ppi"
"CRK","RAPGEF1","0","Binding","20697350","axel_ppi"
"CRK","RAPGEF1","0","Binding","8943292","axel_ppi"
"CRK","RAPGEF1","0","Binding","9122199","axel_ppi"
"CRK","RAPGEF1","0","Binding","8621483","axel_ppi"
"ITGB8","CAV1","0","Binding","10592173","axel_ppi"
"SHC1","CBL","0","Binding","15677445","axel_ppi"
"SHC1","CBL","0","Binding","8662998","axel_ppi"
"FYN","CAV1","+","Binding","10592173","axel_ppi"
"SHC1","CBL","0","Binding","8950973","axel_ppi"
"RAC1","VAV3","0","Binding","10523675","axel_ppi"
"RAC1","VAV3","+","Binding","10592173","axel_ppi"
"PIK3CA","SYK","+","Binding","10592173","axel_ppi"
"PTPN11","CBL","0","Binding","11157475","axel_ppi"
"SHC1","ARHGEF7","0","Binding","18385518","axel_ppi"
"PTPRA","FYN","+","Dephosphorylation","10562275","axel_ppi"
"MAPK8","CASP8","0","Binding","15659383","axel_ppi"
"PTPRA","FYN","0","Binding","1715582","axel_ppi"
"PTPRA","FYN","0","Binding","9535845","axel_ppi"
"CRKL","DOCK1","+","Binding","10592173","axel_ppi"
"PTPRA","FYN","0","Binding","8413237","axel_ppi"
"PTPRA","FYN","0","Binding","18948260","axel_ppi"
"ITGA3","CD151","0","Binding","10734060","axel_ppi"
"PXN","ILK","0","Binding","17553790","axel_ppi"
"PXN","ILK","0","Binding","10592173","axel_ppi"
"VAV1","SRC","+","Phosphorylation","1311423","axel_ppi"
"VAV1","SRC","+","Phosphorylation","1531699","axel_ppi"
"AGAP2","INSR","0","Binding","21720388","axel_ppi"
"TGFB1I1","PXN","0","Binding","11463817","axel_ppi"
"INPPL1","TUBA1B","0","Binding","19380743","axel_ppi"
"PTPN1","GRB2","0","Binding","8940134","axel_ppi"
"PTPN11","CBL","0","Binding","18519587","axel_ppi"
"GNB2L1","ITGB8","0","Binding","10965141","axel_ppi"
"SYK","PTK2","0","Binding","9169439","axel_ppi"
"TES","VASP","0","Binding","12695497","axel_ppi"
"MYH9","ACTB","0","Binding","10592173","axel_ppi"
"PTK2B","TLN1","0","Binding","9442086","axel_ppi"
"ITGAX","CSK","+","Binding","10592173","axel_ppi"
"CBL","PRKCA","0","Binding","10358153","axel_ppi"
"CRK","RAPGEF1","0","Binding","18835194","axel_ppi"
"ITGB1","SLC3A2","0","Binding","12181350","axel_ppi"
"SRC","PTPN1","0","Binding","17974954","axel_ppi"
"SRC","PTPN1","0","Binding","17092689","axel_ppi"
"ITGB1","SLC3A2","0","Binding","10671548","axel_ppi"
"ITGB1","SLC3A2","0","Binding","11507094","axel_ppi"
"SRC","PTPN1","0","Binding","16537444","axel_ppi"
"PTPN12","PDPK1","0","Binding","19167335","axel_ppi"
"VAV1","CBL","0","Binding","16356860","axel_ppi"
"VAV1","CBL","0","Binding","11331248","axel_ppi"
"SRC","PTPN1","0","Binding","12857726","axel_ppi"
"VAV1","CBL","0","Binding","18835194","axel_ppi"
"VAV1","CBL","0","Binding","9200440","axel_ppi"
"ZYX","ENAH","0","Binding","12672821","axel_ppi"
"CRKL","PTEN","0","Binding","15717329","axel_ppi"
"CRKL","MAPK8","0","Binding","16982329","axel_ppi"
"RAC1","ELMO1","0","Binding","15723800","axel_ppi"
"ASAP2","SH3KBP1","0","Binding","17255943","axel_ppi"
"SRC","PTPN1","0","Binding","9600099","axel_ppi"
"PAK1","RHOU","0","Binding","15350535","axel_ppi"
"IRS1","PTPN1","0","Binding","10751417","axel_ppi"
"IRS1","PTPN1","0","Binding","11579209","axel_ppi"
"IRS1","PTPN1","_","dephosphorylation","10592173","axel_ppi"
"PTK2","RAC1","0","Binding","20936779","axel_ppi"
"SOS1","PTPN6","0","Binding","8632004","axel_ppi"
"SRC","PTPN1","0","Binding","11007774","axel_ppi"
"SOS1","FYN","0","Binding","17474147","axel_ppi"
"SRC","PTPN1","0","Binding","15866871","axel_ppi"
"CRKL","MAPK8","0","Binding","10592173","axel_ppi"
"PTPRO","PDPK1","0","Binding","19167335","axel_ppi"
"EZR","CAPN1","0","Binding","22805611","axel_ppi"
"DOCK1","CRKL","+","Binding","10592173","axel_ppi"
"CRK","STAT3","0","Binding","24013128","axel_ppi"
"PIP5K1C","RHOA","+","Binding","10592173","axel_ppi"
"RAC1","ITGB1BP1","0","Binding","10827173","axel_ppi"
"RAC1","ITGB1BP1","0","Binding","11807099","axel_ppi"
"BCAR1","MAPK8","0","Binding","11432831","axel_ppi"
"TLN1","ITGB7","0","Binding","12606711","axel_ppi"
"NCK2","RHOU","0","Binding","16752908","axel_ppi"
"PDPK1","MAPK8","0","Binding","10357815","axel_ppi"
"CSK","ITGA8","+","Binding","10592173","axel_ppi"
"NCK2","RHOU","0","Binding","15350535","axel_ppi"
"NCK2","RHOU","0","Binding","18086875","axel_ppi"
"PLAUR","ITGAM","0","Binding","10744708","axel_ppi"
"NCK2","ARHGEF6","0","Binding","26186194","axel_ppi"
"INSR","SORBS1","0","Binding","11374898","axel_ppi"
"ITGB1","ITGA4","0","Binding","8428973","axel_ppi"
"GAB1","SHC1","0","Binding","10194437","axel_ppi"
"STAT3","LYN","0","Binding","18070987","axel_ppi"
"SRC","CSK","0","Binding","17525734","axel_ppi"
"SRC","CSK","_","Binding","10592173","axel_ppi"
"SRC","CSK","0","Binding","7513429","axel_ppi"
"STAT3","LYN","0","Binding","12244095","axel_ppi"
"ACTB","SORBS1","0","Binding","19116150","axel_ppi"
"ACTB","SORBS1","0","Binding","17082770","axel_ppi"
"SRC","CSK","_","Binding","14665621","axel_ppi"
"PTK2","CRK","0","Binding","12615911","axel_ppi"
"SHC1","ABL1","+","phosphorylation","10592173","axel_ppi"
"PTK2","CRK","0","Binding","10085298","axel_ppi"
"SHC1","ABL1","0","Binding","8617726","axel_ppi"
"SHC1","ABL1","0","Binding","8112292","axel_ppi"
"FYN","ABL1","0","Binding","17474147","axel_ppi"
"PTK2","SYK","0","Binding","9169439","axel_ppi"
"SHC1","ABL1","0","Binding","19380743","axel_ppi"
"SRC","CSK","_","Binding","1383688","axel_ppi"
"SRC","ABI1","0","Binding","20598684","axel_ppi"
"LIMK1","CFL1","0","Binding","19424295","axel_ppi"
"LIMK1","CFL1","0","Binding","20133759","axel_ppi"
"FYN","BCAR1","0","Binding","17474147","axel_ppi"
"LIMK1","CFL1","0","Binding","17853892","axel_ppi"
"FYN","BCAR1","0","Binding","9360983","axel_ppi"
"LIMK1","CFL1","_","Phosphorylation","12361576","axel_ppi"
"LIMK1","CFL1","_","phosphorylation","10592173","axel_ppi"
"LIMK1","CFL1","0","Binding","10436159","axel_ppi"
"LIMK1","CFL1","0","Binding","12963706","axel_ppi"
"LIMK1","CFL1","0","Binding","16278681","axel_ppi"
"LIMK1","CFL1","0","Binding","15220930","axel_ppi"
"FYN","BCAR1","0","Binding","10739664","axel_ppi"
"DNM2","GRB2","0","Binding","16696976","axel_ppi"
